PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
10308,1/14/2005,247,4.88%,0.4478,0.004,3.79%,3.99%,10.17%,4.84%
10308,1/21/2005,248,-1.65%,0.4488,0.0039,3.78%,3.99%,10.21%,-1.08%
10308,1/28/2005,249,3.14%,0.4491,0.004,3.77%,3.98%,10.21%,2.99%
10318,1/7/2005,245,-2.34%,0.3902,0.0066,4.49%,4.62%,5.80%,-1.35%
10318,1/14/2005,246,2.13%,0.3902,0.0066,4.48%,4.62%,5.79%,2.08%
10318,1/21/2005,247,-3.32%,0.3924,0.0065,4.48%,4.61%,5.85%,-2.83%
10318,1/28/2005,248,3.14%,0.3928,0.0066,4.47%,4.61%,5.85%,3.00%
10324,1/7/2005,246,-0.36%,1.2667,0.0049,5.71%,6.76%,28.55%,2.95%
10324,1/14/2005,247,3.56%,1.2668,0.005,5.70%,6.74%,28.53%,3.52%
10324,1/21/2005,248,-1.25%,1.2668,0.005,5.69%,6.73%,28.55%,0.41%
10324,1/28/2005,249,-2.16%,1.2664,0.0049,5.68%,6.72%,28.51%,-2.52%
10333,1/7/2005,246,-10.81%,2.087,0.0039,12.75%,14.07%,17.86%,-5.36%
10333,1/14/2005,247,-3.90%,2.0869,0.0038,12.73%,14.05%,17.85%,-3.94%
10333,1/21/2005,248,-5.86%,2.0891,0.0036,12.71%,14.02%,17.89%,-3.10%
10333,1/28/2005,249,-5.26%,2.0882,0.0034,12.69%,14.00%,17.86%,-5.82%
10342,1/7/2005,246,-5.53%,0.6492,0.0059,6.54%,6.80%,7.40%,-3.88%
10342,1/14/2005,247,2.73%,0.6492,0.006,6.53%,6.79%,7.40%,2.69%
10342,1/21/2005,248,5.31%,0.6456,0.0062,6.53%,6.78%,7.31%,6.15%
10342,1/28/2005,249,4.29%,0.6462,0.0063,6.52%,6.77%,7.31%,4.09%
10353,1/7/2005,246,-8.30%,1.5304,-0.0031,7.21%,8.42%,26.80%,-4.31%
10353,1/14/2005,247,-2.44%,1.5303,-0.0032,7.19%,8.41%,26.79%,-2.48%
10353,1/21/2005,248,-10.90%,1.5359,-0.0035,7.20%,8.42%,26.84%,-8.89%
10353,1/28/2005,249,-2.64%,1.5355,-0.0036,7.19%,8.40%,26.82%,-3.06%
10355,1/7/2005,246,15.99%,0.2931,0.0014,3.57%,3.67%,5.18%,16.78%
10355,1/14/2005,247,2.18%,0.2932,0.0015,3.57%,3.66%,5.18%,2.14%
10355,1/21/2005,248,2.27%,0.2916,0.0016,3.56%,3.66%,5.12%,2.63%
10355,1/28/2005,249,-1.61%,0.2913,0.0015,3.56%,3.65%,5.10%,-1.72%
10362,1/7/2005,246,-17.23%,1.0326,0.0068,15.20%,15.49%,3.61%,-14.60%
10362,1/14/2005,247,-7.03%,1.0325,0.0065,15.18%,15.46%,3.61%,-7.07%
10362,1/21/2005,248,9.76%,1.0257,0.0069,15.17%,15.44%,3.56%,11.10%
10362,1/28/2005,249,-1.33%,1.0253,0.0068,15.14%,15.41%,3.55%,-1.63%
